num,title,authors,venue,year
652,DBCache: Middle-tier Database Caching for Highly Scalable e-Business Architectures,"C. Mohan, Sailesh Krishnamurthy, Mehmet Altinel, Christof Bornh�vd, Hamid Pirahesh, Berthold Reinwald",SIGMOD Conference,2003
653,"Information Translation, Mediation, and Mosaic-Based Browsing in the TSIMMIS System","Yannis Papakonstantinou, Joachim Hammer, Jennifer Widom, Jeffrey D. Ullman, Hector Garcia-Molina, Kelly Ireland",SIGMOD Conference,1995
654,Reminiscences on Influential Papers,"Jun Rao, Kenneth A. Ross, Johannes Gehrke",SIGMOD Record,2003
655,"Review of The data warehouse toolkit: the complete guide to dimensional modeling (2nd edition) by Ralph Kimball, Margy Ross. John Wiley & Sons, Inc. 2002",Alexander A. Anisimov,SIGMOD Record,2003
656,Adaptive Precision Setting for Cached Approximate Values,"Boon Thau Loo, Jennifer Widom, Chris Olston",SIGMOD Conference,2001
657,Extracting Schema from Semistructured Data,"Serge Abiteboul, Rajeev Motwani, Svetlozar Nestorov",SIGMOD Conference,1998
658,Maximizing the Output Rate of Multi-Way Join Queries over Streaming Information Sources,"Josef Burger, Jeffrey F. Naughton, Stratis Viglas",VLDB,2003
659,Fibonacci: A Programming Language for Object Databases,"Antonio Albano, Renzo Orsini, Giorgio Ghelli",VLDB J.,1995
660,A Theory of Redo Recovery,"Mark R. Tuttle, David B. Lomet",SIGMOD Conference,2003
661,An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,"John G. Hughes, David A. Bell, Sarabjot S. Anand",VLDB,1994
662,Distance-Based Indexing for High-Dimensional Metric Spaces,"Z. Meral �zsoyoglu, Tolga Bozkaya",SIGMOD Conference,1997
663,Provision of Market Services for eCo Compliant Electronic Market Places,"Sena Nural Arpinar, Asuman Dogac",SIGMOD Record,2000
664,Report on the 2001 SIGMOD and PODS Awards,Philip A. Bernstein,SIGMOD Record,2001
665,Disseminating Updates on Broadcast Disks,"Swarup Acharya, Stanley B. Zdonik, Michael J. Franklin",VLDB,1996
666,"Watermarking relational data: framework, algorithms and analysis","Peter J. Haas, Rakesh Agrawal, Jerry Kiernan",VLDB J.,2003
667,"Title, Foreword, Preface to the Special Issue on Spatial Database Systems, Index Vol. 3",?,VLDB J.,1994
668,Research in database engineering at the University of Namur,Jean-Luc Hainaut,SIGMOD Record,2003
669,Maintaining Database Consistency in Presence of Value Dependencies in Multidatabase Systems,"Mich�le Cart, Claire Morpain, Jean-Fran�ois Pons, Jean Ferri�",SIGMOD Conference,1996
670,Integrating and customizing heterogeneous e-commerce applications,"Anat Eyal, Tova Milo",VLDB J.,2001
671,A Semantic Modeling Approach for Image Retrieval by Content,"Ricky K. Taira, Ion Tim Ieong, Wesley W. Chu",VLDB J.,1994
672,Guest editorial,"Yannis E. Ioannidis, Raghu Ramakrishnan, Philip A. Bernstein",VLDB J.,2003
673,Electronic Market: The Roadmap for University Libraries and Members to Survive in the Information Jungle,"Peter C. Lockemann, Bethina Schmitt, Michael Christoffel, Sebastian Pulkowski",SIGMOD Record,1998
674,Altruistic Locking,"Jeannie Shands, Kenneth Salem, Hector Garcia-Molina",ACM Trans. Database Syst.,1994
675,Query Processing in Tertiary Memory Databases,Sunita Sarawagi,VLDB,1995
676,Component-based E-Commerce: Assesment of Current Practices and Future Directions,"Martin Bichler, Arie Segev, J. Leon Zhao",SIGMOD Record,1998
677,"Pattern Matching and Pattern Discovery in Scientific, Program, and Document Databases","Kaizhong Zhang, Dennis Shasha, Jason Tsong-Li Wang",SIGMOD Conference,1995
678,Building Scalable Internet Applications with Oracle8i Server,"Olga Peschansky, Jos� Alberto Fern�ndez, Julie Basu",VLDB,2000
679,The Montage Extensible DataBlade Achitecture,Michael Ubell,SIGMOD Conference,1994
680,Quorum Consensus in Nested Transaction Systems,"Kenneth J. Goldman, Nancy A. Lynch",ACM Trans. Database Syst.,1994
681,Model and Verification of a Data Manager Based on ARIES,Dean Kuo,ACM Trans. Database Syst.,1996
682,Spatial queries in dynamic environments,"Yufei Tao, Dimitris Papadias",ACM Trans. Database Syst.,2003
683,Learning Response Time for WebSources Using Query Feedback and Application in Query Optimization,"Jean-Robert Gruser, Vladimir Zadorozhny, Louiqa Raschid, Tao Zhan",VLDB J.,2000
684,Virtual Database technology,"Venky Harinarayan, Ashish Gupta, Anand Rajaraman",SIGMOD Record,1997
685,Time management for new faculty,"Anastassia Ailamaki, Johannes Gehrke",SIGMOD Record,2003
686,Much Ado About Shared-Nothing,"Michael G. Norman, Peter Thanisch, Thomas Zurek",SIGMOD Record,1996
687,Optimized Query Execution in Large Search Engines with Global Page Ordering,"Torsten Suel, Xiaohui Long",VLDB,2003
688,Query Optimization at the Crossroads (Panel),Surajit Chaudhuri,SIGMOD Conference,1997
689,STRUDEL: A Web-site Management System,"Alon Y. Levy, Mary F. Fernandez, Jaewoo Kang, Daniela Florescu, Dan Suciu",SIGMOD Conference,1997
690,Chair's Message,M. Tamer �zsu,SIGMOD Record,2003
691,On Supporting Containment Queries in Relational Database Management Systems,"Guy M. Lohman, David J. DeWitt, Qiong Luo, Jeffrey F. Naughton, Chun Zhang",SIGMOD Conference,2001
692,The p Operator: Discovering and Ranking Associations on the Semantic Web,"Kemafor Anyanwu, Amit P. Sheth",SIGMOD Record,2002
693,Repositories and Object Oriented Databases,Philip A. Bernstein,SIGMOD Record,1998
694,Editor's Notes,Ling Liu,SIGMOD Record,2002
695,GTE SuperPages: Using IR Techniques for Searching Complex Objects,"Steven D. Whitehead, Himanshu Sinha, Michael Murphy",VLDB,1997
696,A Data Model and Data Structures for Moving Objects Databases,"Markus Schneider, Enrico Nardelli, Luca Forlizzi, Ralf Hartmut G�ting",SIGMOD Conference,2000
697,Middle East Technical University Software Research and Development Center,Asuman Dogac,SIGMOD Record,1996
698,The Handwritten Trie: Indexing Electronic Ink,"Padmavathi Vallabhaneni, Daniel Barbar�, Walid G. Aref",SIGMOD Conference,1995
699,Research Issues in Federated Database Systems: Report of EFDBS '97 Workshop,"F�lix Saltor, Mark Roantree, Mark W. W. Vermeer, Wilhelm Hasselbring, Martin Sch�nhoff, Markus Str�ssler, Barry Eaglestone, Stefan Conrad",SIGMOD Record,1997
700,Dynamic multidimensional histograms,"Piotr Indyk, Sudipto Guha, Nitin Thaper, Nick Koudas",SIGMOD Conference,2002
701,Inverted Files Versus Signature Files for Text Indexing,"Kotagiri Ramamohanarao, Justin Zobel, Alistair Moffat",ACM Trans. Database Syst.,1998
702,Aggregation Algorithms for Very Large Compressed Data Warehouses,"Jaideep Srivastava, Jianzhong Li, Doron Rotem",VLDB,1999
703,Delivering Presentations from Multimedia Servers,"Nevzat Hurkan Balkir, Gultekin �zsoyoglu",VLDB J.,1998
704,Automated Resolution of Semantic Heterogeneity in Multidatabases,"A. R. Hurson, Simin H. Pakzad, M. W. Bright",ACM Trans. Database Syst.,1994
705,Chair's Message,M. Tamer �zsu,SIGMOD Record,2001
706,Book Review Column,Karl Aberer,SIGMOD Record,2002
707,The Design and Performance Evaluation of Alternative XML Storage Strategies,"David J. DeWitt, Jianjun Chen, Chun Zhang, Feng Tian",SIGMOD Record,2002
708,Containment of Conjunctive Queries: Beyond Relations as Sets,"Raghu Ramakrishnan, Yannis E. Ioannidis",ACM Trans. Database Syst.,1995
709,From the Guest Editors - Special Section on Data Management Issues in Mobile Computing,"Margaret H. Dunham, Abdelsalam Helal",SIGMOD Record,1995
710,A One-Pass Aggregation Algorithm with the Optimal Buffer Size in Multidimensional OLAP,"Yang-Sae Moon, Young-Koo Lee, Il-Yeol Song, Kyu-Young Whang",VLDB,2002
711,Turbo-charging Vertical Mining of Large Databases,"Jayant R. Haritsa, Devavrat Shah, S. Sudarshan, Pradeep Shenoy, Mayank Bawa, Gaurav Bhalotia",SIGMOD Conference,2000
712,PREDATOR: An OR-DBMS with Enhanced Data Types,"Praveen Seshadri, Mark Paskin",SIGMOD Conference,1997
713,Exploiting Main Memory DBMS Features to Improve Real-Time Concurrency Control Protocols,"�zg�r Ulusoy, Alejandro P. Buchmann",SIGMOD Record,1996
714,Approximate Query Processing: Taming the TeraBytes,"Minos N. Garofalakis, Phillip B. Gibbons",VLDB,2001
715,Querying Multi-dimensional Data Indexed Using the Hilbert Space-filling Curve,"Peter J. H. King, Jonathan K. Lawder",SIGMOD Record,2001
716,Theory of Answering Queries Using Views,Alon Y. Halevy,SIGMOD Record,2000
717,GridDB: A Database Interface to the Grid,"David T. Liu, Devesh Parekh, Michael J. Franklin",SIGMOD Conference,2003
718,Controlling Access to Published Data Using Cryptography,"Gerome Miklau, Dan Suciu",VLDB,2003
719,Approximate query processing using wavelets,"Rajeev Rastogi, Minos N. Garofalakis, Kyuseok Shim, Kaushik Chakrabarti",VLDB J.,2001
720,Minimal probing: supporting expensive predicates for top-k queries,"Kevin Chen-Chuan Chang, Seung-won Hwang",SIGMOD Conference,2002
721,"Advanced Data Processing in KRISYS: Modeling Concepts, Implementation Techniques, and Client/Server Issues","Nelson Mendon�a Mattos, Joachim Thomas, Theo H�rder, Stefan De�loch, Bernhard Mitschang",VLDB J.,1998
722,Letter to SIGMOD Record Editor,Nazih Elderini,SIGMOD Record,2002
723,Progress on HPCC and NII,Marianne Winslett,SIGMOD Record,1994
724,An Aspect of Query Optimization in Multidatabase Systems (Extended Abstract),"Chiang Lee, Hongjun Lu, Chia-Jung Chen",SIGMOD Record,1995
725,Novel Approaches in Query Processing for Moving Object Trajectories,"Yannis Theodoridis, Dieter Pfoser, Christian S. Jensen",VLDB,2000
726,Microsoft English Query 7.5: Automatic Extraction of Semantics from Relational Databases and OLAP Cubes,Adam Blum,VLDB,1999
727,Reminiscences on Influential Papers,"Kenneth A. Ross, Anastassia Ailamaki, Alfred V. Aho",SIGMOD Record,2002
728,Rate-based query optimization for streaming information sources,"Jeffrey F. Naughton, Stratis Viglas",SIGMOD Conference,2002
729,EMC Information Sharing: Direct Access to MVS Data from Unix and NT,Walt Kohler,SIGMOD Conference,1999
730,Selectivity Estimation in Extensible Databases - A Neural Network Approach,"Shaoyu Zhou, M. Seetha Lakshmi",VLDB,1998
731,Data Warehousing and Business Intelligence for E-Commerce - Book Review,Frank G. Goethals,SIGMOD Record,2002
732,Selectivity Estimation using Probabilistic Models,"Daphne Koller, Lise Getoor, Benjamin Taskar",SIGMOD Conference,2001
733,Bridging Heterogeneity: Research and Practice of Database Middleware Technology,"G�nter Sauter, Fernando de Ferreira Rezende",VLDB,1998
734,"What Do Those Weird XML Types Want, Anyway?",Steven J. DeRose,VLDB,1999
735,Report on the 4th International Conference on Mobile Data Management,"Panos K. Chrysanthis, Arkady B. Zaslavsky, Morris Sloman",SIGMOD Record,2003
736,A Prototype Content-Based Retrieval System that Uses Virtual Images to Save Space,"Leonard Brown, Le Gruenwald",VLDB,2001
737,Warehousing Workflow Data: Challenges and Opportunities,"Umeshwar Dayal, Ming-Chien Shan, Angela Bonifati, Fabio Casati",VLDB,2001
738,Declustering Databases on Heterogeneous Disk Systems,"Doron Rotem, Sridhar Seshadri, Ling Tony Chen",VLDB,1995
739,Toward Learning Based Web Query Processing,"Yanlei Diao, Hongjun Lu, Zengping Tian, Songting Chen",VLDB,2000
740,Information Finding in a Digital Library: The Stanford Perspective,"Tak W. Yan, Hector Garcia-Molina",SIGMOD Record,1995
741,Fast Image Retrieval Using Color-Spatial Information,"Kian-Lee Tan, Tat-Seng Chua, Beng Chin Ooi, Wynne Hsu",VLDB J.,1998
742,Delivering High Availability for Inktomi Search Engines,Eric A. Brewer,SIGMOD Conference,1998
743,The Araneus Web-Base Management System,"Giansalvatore Mecca, Paolo Merialdo, Alessandro Masci, Paolo Atzeni, Giuseppe Sindoni",SIGMOD Conference,1998
744,CURE: An Efficient Clustering Algorithm for Large Databases,"Sudipto Guha, Rajeev Rastogi, Kyuseok Shim",SIGMOD Conference,1998
745,Algorithms for Materialized View Design in Data Warehousing Environment,"Kamalakar Karlapalem, Jian Yang, Qing Li",VLDB,1997
746,Enhanced Hypertext Categorization Using Hyperlinks,"Byron Dom, Piotr Indyk, Soumen Chakrabarti",SIGMOD Conference,1998
747,LORE: A Lightweight Object REpository for Semistructured Data,"Janet L. Wiener, Jason McHugh, Serge Abiteboul, Qingshan Luo, Anand Rajaraman, Dallan Quass, Jeffrey D. Ullman, Roy Goldman, Hugo Rivero, Jennifer Widom, Svetlozar Nestorov, Kevin Haas",SIGMOD Conference,1996
748,VQBD: Exploring Semistructured Data,"Jihwang Yeo, Sudarshan S. Chawathe, Thomas Baby",SIGMOD Conference,2001
749,The Grid: An Application of the Semantic Web,"Carole A. Goble, David De Roure",SIGMOD Record,2002
750,Grid and Applications (Industrial Session),Frank Leymann,VLDB,2003
751,"i3: Intelligent, Interactive Investigaton of OLAP data cubes","Sunita Sarawagi, Gayatri Sathe",SIGMOD Conference,2000
752,Algebraic Change Propagation for Semijoin and Outerjoin Queries,"Timothy Griffin, Bharat Kumar",SIGMOD Record,1998
753,Checking the Temporal Integrity of Interactive Multimedia Documents,"S. Tserkezoglou, Timos K. Sellis, Barbara Pernici, Michalis Vazirgiannis, Isabelle Mirbel",VLDB J.,2000
754,Efficient filtering of XML documents with XPath expressions,"Rajeev Rastogi, Pascal Felber, Chee Yong Chan, Minos N. Garofalakis",VLDB J.,2002
755,"Of Crawlers, Portals, Mice and Men: Is there more to Mining the Web? (Panel)","Kyuseok Shim, Rajeev Rastogi, Minos N. Garofalakis, Sridhar Ramaswamy",SIGMOD Conference,1999
756,Design and User Testing of a Multi-Paradigm Query Interface to an Object-Oriented Database,"Dac Khoa Doan, Alistair C. Kilgour, Norman W. Paton",SIGMOD Record,1995
757,Efficient Checking of Temporal Integrity Constraints Using Bounded History Encoding,Jan Chomicki,ACM Trans. Database Syst.,1995
758,What Is the Nearest Neighbor in High Dimensional Spaces?,"Charu C. Aggarwal, Alexander Hinneburg, Daniel A. Keim",VLDB,2000
759,DTL's DataSpot: Database Exploration as Easy as Browsing the Web,"Gadi Entin, Shai Geva, Eran Palmon, Shaul Dar",SIGMOD Conference,1998
760,3D Geographic Network Displays,"Taosong He, Stephen G. Eick, Kenneth C. Cox",SIGMOD Record,1996
761,"Data-Driven, One-To-One Web Site Generation for Data-Intensive Applications","Stefano Paraboschi, Piero Fraternali, Stefano Ceri",VLDB,1999
762,Processing Star Queries on Hierarchically-Clustered Fact Tables,"Nikos Karayannidis, Frank Ramsak, Timos K. Sellis, Rudolf Bayer, Robert Fenk, Klaus Elhardt, Volker Markl, Roland Pieringer, Aris Tsois",VLDB,2002
763,Winnowing: Local Algorithms for Document Fingerprinting,"Alexander Aiken, Daniel Shawcross Wilkerson, Saul Schleimer",SIGMOD Conference,2003
764,Access Path Support for Referential Integrity in SQL2,"Joachim Reinert, Theo H�rder",VLDB J.,1996
765,Enhanced Nearest Neighbour Search on the R-tree,"Ada Wai-Chee Fu, King Lum Cheung",SIGMOD Record,1998
766,EOS: An Extensible Object Store,"Euthimios Panagos, Alexandros Biliris",SIGMOD Conference,1994
767,SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems,"Fereidoon Sadri, Laks V. S. Lakshmanan, Iyer N. Subramanian",VLDB,1996
768,Reconciling Schemas of Disparate Data Sources: A Machine-Learning Approach,"AnHai Doan, Pedro Domingos, Alon Y. Halevy",SIGMOD Conference,2001
769,Optimal Clip Ordering for Multi-Clip Queries,"Raymond T. Ng, Paul Shum",VLDB J.,1998
770,Process Automation as the Foundation for E-Business,"Fabio Casati, Ming-Chien Shan",VLDB,2000
771,Research Issues in Active Database Systems: Report from the Closing Panel at RIDE-ADS '94,Jennifer Widom,SIGMOD Record,1994
772,ACM TODS in this Internet Age,Richard T. Snodgrass,SIGMOD Record,2003
773,Algorithms for Querying by Spatial Structure,"Nikos Mamoulis, Dimitris Papadias, Vasilis Delis",VLDB,1998
774,Query by Diagram: A Graphical Environment for Querying Databases,"Giuseppe Santucci, Tiziana Catarci",SIGMOD Conference,1994
775,User-Defined Table Operators: Enhancing Extensibility for ORDBMS,"Bernhard Mitschang, Michael Jaedicke",VLDB,1999
776,Guest Editor's Introduction,Asuman Dogac,SIGMOD Record,2002
777,XRANK: Ranked Keyword Search over XML Documents,"Feng Shao, Lin Guo, Chavdar Botev, Jayavel Shanmugasundaram",SIGMOD Conference,2003
778,Chair's Message,Richard T. Snodgrass,SIGMOD Record,1998
779,Infering Structure in Semistructured Data,"Rajeev Motwani, Serge Abiteboul, Svetlozar Nestorov",SIGMOD Record,1997
780,Efficacious Data Cube Exploration by Semantic Summarization and Compression,"Jian Pei, Laks V. S. Lakshmanan, Yan Zhao",VLDB,2003
781,High-Performance Sorting on Networks of Workstations,"David E. Culler, Joseph M. Hellerstein, David A. Patterson, Andrea C. Arpaci-Dusseau, Remzi H. Arpaci-Dusseau",SIGMOD Conference,1997
782,Transactional Information Systems - Book Review,Marc H. Scholl,SIGMOD Record,2001
783,Polymorphism and Type Inference in Database Programming,"Atsushi Ohori, Peter Buneman",ACM Trans. Database Syst.,1996
784,An Effective Deductive Object-Oriented Database Through Language Integration,"M. Howard Williams, Norman W. Paton, Andrew Dinn, Maria L. Barja, Alvaro A. A. Fernandes",VLDB,1994
785,Cache Conscious Indexing for Decision-Support in Main Memory,"Kenneth A. Ross, Jun Rao",VLDB,1999
786,Analyzing Quantitative Databases: Image is Everything,"Reuven Kashi, Nathan S. Netanyahu, Amihood Amir",VLDB,2001
787,DBCache: database caching for web application servers,"Sailesh Krishnamurthy, C. Mohan, Larry Brown, Hamid Pirahesh, Mehmet Altinel, Honguk Woo, Qiong Luo, Bruce G. Lindsay",SIGMOD Conference,2002
788,Iterative dynamic programming: a new class of query optimization algorithms,"Donald Kossmann, Konrad Stocker",ACM Trans. Database Syst.,2000
789,High-Concurrency Locking in R-Trees,"Douglas Banks, Marcel Kornacker",VLDB,1995
790,Electronic Commerce: Tutorial,"Nabil R. Adam, Yelena Yesha",SIGMOD Conference,1998
791,Spatial and Temporal Content-Based Access to Hypervideo Databases,"Ahmed K. Elmagarmid, Haitao Jiang",VLDB J.,1998
792,Distributed Processing over Stand-alone Systems and Applications,"Claus Hagen, Hans-J�rg Schek, Gustavo Alonso, Markus Tresch",VLDB,1997
793,Synchronizing a Database to Improve Freshness,"Junghoo Cho, Hector Garcia-Molina",SIGMOD Conference,2000
794,The Double Life of the Transaction Abstraction: Fundamental Principle and Evolving System Concept,Henry F. Korth,VLDB,1995
795,Density Biased Sampling: An Improved Method for Data Mining and Clustering,"Christopher R. Palmer, Christos Faloutsos",SIGMOD Conference,2000
796,The TSQL2 Final Language Definition Announcement,?,SIGMOD Record,1994
797,Efficient Progressive Skyline Computation,"Pin-Kwang Eng, Kian-Lee Tan, Beng Chin Ooi",VLDB,2001
798,MPEG-7 and Multimedia Database Systems,Harald Kosch,SIGMOD Record,2002
799,Storage and Querying of E-Commerce Data,"Yirong Xu, Rakesh Agrawal, Amit Somani",VLDB,2001
800,DynaMat: A Dynamic View Management System for Data Warehouses,"Nick Roussopoulos, Yannis Kotidis",SIGMOD Conference,1999
801,How to Summarize the Universe: Dynamic Maintenance of Quantiles,"Martin Strauss, S. Muthukrishnan, Yannis Kotidis, Anna C. Gilbert",VLDB,2002
802,Parameterized Complexity for the Database Theorist,Martin Grohe,SIGMOD Record,2002
803,Editor's Notes,Michael J. Franklin,SIGMOD Record,2000
804,Formal semantics and analysis of object queries,Gavin M. Bierman,SIGMOD Conference,2003
805,METU Object-Oriented DBMS,"Cetin Ozkan, Cem Evrendilek, Yuksel Saygin, Ilker Altintas, Ismailcem Budak Arpinar, Mehmet Altinel, Tansel Okay, Ilker Durusoy, Asuman Dogac",SIGMOD Conference,1994
806,Orthogonally Persistent Object Systems,"Malcolm P. Atkinson, Ronald Morrison",VLDB J.,1995
807,Concurrent Garbage Collection in O2,"Marcin Skubiszewski, Patrick Valduriez",VLDB,1997
808,"Constructing and integrating data-centric Web Applications: Methods, Tools, and Techniques","Ioana Manolescu, Stefano Ceri",VLDB,2003
809,Guest Editor's Introduction,"Robert Meersman, Amit P. Sheth",SIGMOD Record,2002
810,DTL's DataSpot: Database Exploration Using Plain Language,"Gadi Entin, Shai Geva, Shaul Dar, Eran Palmon",VLDB,1998
811,Editor's Notes,Michael J. Franklin,SIGMOD Record,1998
812,Applying Database Technology in the ADSM Mass Storage System,"Robert Rees, Luis-Felipe Cabrera, Wayne Hineman",VLDB,1995
813,Dynamic Buffer Allocation in Video-on-Demand Systems,"Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song, Sang Ho Lee",SIGMOD Conference,2001
814,Holistic Twig Joins on Indexed XML Documents,"Wei Wang, Haifeng Jiang, Hongjun Lu, Jeffrey Xu Yu",VLDB,2003
815,Obtaining Complete Answers from Incomplete Databases,Alon Y. Levy,VLDB,1996
816,Incremental Maintenance of Externally Materialized Views,"Martin Staudt, Matthias Jarke",VLDB,1996
817,Databases for GIS,"Claudia Bauzer Medeiros, Fatima Pires",SIGMOD Record,1994
818,Query Optimization in the Presence of Limited Access Patterns,"Dan Suciu, Ioana Manolescu, Daniela Florescu, Alon Y. Levy",SIGMOD Conference,1999
819,An Effective Hash Based Algorithm for Mining Association Rules,"Ming-Syan Chen, Philip S. Yu, Jong Soo Park",SIGMOD Conference,1995
820,A Dependability Benchmark for OLTP Application Environments,"Henrique Madeira, Marco Vieira",VLDB,2003
821,High Speed On-line Backup When Using Logical Log Operations,David B. Lomet,SIGMOD Conference,2000
822,Towards On-Line Analytical Mining in Large Databases,Jiawei Han,SIGMOD Record,1998
823,Facilitating Multimedia Database Exploration through Visual Interfaces and Perpetual Query Reformulations,"Kyoji Hirata, Yoshinori Hara, Wen-Syan Li, K. Sel�uk Candan",VLDB,1997
824,"The Glue-Nail Deductive Database System: Design, Implementation, and Evaluation","Geoffrey Phipps, Marcia A. Derr, Shinichi Morishita",VLDB J.,1994
825,Cubetree: Organization of and Bulk Updates on the Data Cube,"Nick Roussopoulos, Mema Roussopoulos, Yannis Kotidis",SIGMOD Conference,1997
826,Interview with Avi Silberschatz,Marianne Winslett,SIGMOD Record,2002
827,Database Research at the University of Illinois at Urbana-Champaign,"ChengXiang Zhai, Marianne Winslett, Yuanyuan Zhou, Kevin Chen-Chuan Chang, Jiawei Han, AnHai Doan",SIGMOD Record,2002
828,SQL Open Heterogeneous Data Access,"Berthold Reinwald, Hamid Pirahesh",SIGMOD Conference,1998
829,Report on the 18th British National Conference on Databases (BNCOD),"Carole A. Goble, Brian J. Read",SIGMOD Record,2002
830,Materialized View Selection for Multidimensional Datasets,"Jeffrey F. Naughton, Amit Shukla, Prasad Deshpande",VLDB,1998
831,HMAP - A temporal data model managing intervals with different granularities and indeterminacy from natural language sentences,"Carlo Combi, Giuseppe Pozzi",VLDB J.,2001
832,"TOPAZ: a Cost-Based, Rule-Driven, Multi-Phase Parallelizer","Bernhard Mitschang, Clara Nippl",VLDB,1998
833,A Sequential Pattern Query Language for Supporting Instant Data Mining for e-Services,"Reza Sadri, Amir M. Zarkesh, Jafar Adibi, Carlo Zaniolo",VLDB,2001
834,COMBI-Operator: Database Support for Data Mining Applications,"Wolfgang Lehner, Alexander Hinneburg, Dirk Habich",VLDB,2003
835,The Semantic Web: Semantics for Data on the Web,"Vipul Kashyap, Stefan Decker",VLDB,2003
836,Managing Video Data in a Mobile Environment,"Rafael Alonso, Yuh-Lin Chang, V. S. Mani, Liviu Iftode",SIGMOD Record,1995
837,Parallel Query Scheduling and Optimization with Time- and Space-Shared Resources,"Yannis E. Ioannidis, Minos N. Garofalakis",VLDB,1997
838,A General Solution of the n-dimensional B-tree Problem,Michael Freeston,SIGMOD Conference,1995
839,Parallel Database Systems 101,Jim Gray,SIGMOD Conference,1995
840,Secure Buffering in Firm Real-Time Database Systems,"Binto George, Jayant R. Haritsa",VLDB,1998
841,Workflow History Management,"Pinar Koksal, Sena Nural Arpinar, Asuman Dogac",SIGMOD Record,1998
842,Broadcast Disks: Data Management for Asymmetric Communications Environments,"Michael J. Franklin, Stanley B. Zdonik, Swarup Acharya, Rafael Alonso",SIGMOD Conference,1995
843,Comparing Data Streams Using Hamming Norms (How to Zero In),"Mayur Datar, Piotr Indyk, S. Muthukrishnan, Graham Cormode",VLDB,2002
844,The A-tree: An Index Structure for High-Dimensional Spaces Using Relative Approximation,"Masatoshi Yoshikawa, Shunsuke Uemura, Yasushi Sakurai, Haruhiko Kojima",VLDB,2000
845,R-Tree Based Indexing of Now-Relative Bitemporal Data,"Simonas Saltenis, Christian S. Jensen, Giedrius Slivinskas, Rasa Bliujute",VLDB,1998
846,Skew handling techniques in sort-merge join,"Richard T. Snodgrass, Wei Li, Dengfeng Gao",SIGMOD Conference,2002
847,Online Index Rebuild,"Hanuma Kodavalla, Nagavamsi Ponnekanti",SIGMOD Conference,2000
848,Efficient similarity search for market basket data,"Alexandros Nanopoulos, Yannis Manolopoulos",VLDB J.,2002
849,Compressed Accessibility Map: Efficient Access Control for XML,"Divesh Srivastava, Ting Yu, H. V. Jagadish, Laks V. S. Lakshmanan",VLDB,2002
850,ToXgene: a template-based data generator for XML,"Alberto O. Mendelzon, John Keenleyside, Denilson Barbosa, Kelly A. Lyons",SIGMOD Conference,2002
851,Interviewing During a Tight Job Market,"Zachary G. Ives, Qiong Luo",SIGMOD Record,2002
852,Star-Cubing: Computing Iceberg Cubes by Top-Down and Bottom-Up Integration,"Jiawei Han, Xiaolei Li, Benjamin W. Wah, Dong Xin",VLDB,2003
853,Datawarehousing Has More Colours Than Just Black & White,"Thomas Zurek, Markus Sinnwell",VLDB,1999
854,Chronological Scheduling of Transactions with Temporal Dependencies,"Marek Rusinkiewicz, Dimitrios Georgakopoulos, Witold Litwin",VLDB J.,1994
855,Query Processing Over Object Views of Relational Data,"Gustav Fahl, Tore Risch",VLDB J.,1997
856,Semantic Caching of Web Queries,"Boris Chidlovskii, Uwe M. Borghoff",VLDB J.,2000
857,Capturing and Querying Multiple Aspects of Semistructured Data,"Curtis E. Dyreson, Michael H. B�hlen, Christian S. Jensen",VLDB,1999
858,Aggregate Maintenance for Data Warehousing in Informix Red Brick Vista,"Latha S. Colby, Gopal Mulagund, Richard L. Cole, Craig J. Bunker, William J. McKenna, David Wilhite",VLDB,2001
859,Supporting State-Wide Immunisation Tracking Using Multi-Paradigm Workflow Technology,"Devashish Worah, Souvik Das, Ivan Shevchenko, Amit P. Sheth, John A. Miller, Chenye Lin, Devanand Palaniswami, Krys Kochut, John Lynch",VLDB,1996
860,Visual COKO: a debugger for query optimizer development,"Daniel J. Abadi, Mitch Cherniack",SIGMOD Conference,2002
861,Data Compression in Oracle,"Meikel P�ss, Dmitry Potapov",VLDB,2003
862,A Multidatabase System for Tracking and Retrieval of Financial Data,"Munir Cochinwala, John Bradley",VLDB,1994
863,Shrinking the Warehouse Update Window,"Hector Garcia-Molina, Ramana Yerneni, Wilburt Labio",SIGMOD Conference,1999
864,An Efficient Algorithm for Mining Association Rules in Large Databases,"Edward Omiecinski, Shamkant B. Navathe, Ashok Savasere",VLDB,1995
865,Update Propagation Strategies to Improve Freshness in Lazy Master Replicated Databases,"Eric Simon, Esther Pacitti",VLDB J.,2000
866,The SIFT Information Dissemination System,"Tak W. Yan, Hector Garcia-Molina",ACM Trans. Database Syst.,1999
867,Special Issue on Data Mining for Intrusion Detection and Threat Analysis - Guest Editor's Introduction,Daniel Barbar�,SIGMOD Record,2001
868,Extracting and Exploiting Structure in Text Search,Prabhakar Raghavan,SIGMOD Conference,2003
869,PLASTIC: Reducing Query Optimization Overheads through Plan Recycling,"Jayant R. Haritsa, Vibhuti S. Sengar",SIGMOD Conference,2003
870,Wavelet synopses with error guarantees,"Phillip B. Gibbons, Minos N. Garofalakis",SIGMOD Conference,2002
